regio ;perioden ;bbp volume mutaties in %
Nederland;1996;3,5
Nederland;1997;4,3
Nederland;1998;4,7
Nederland;1999;5
Nederland;2000;4,2
Nederland;2001;2,3
Nederland;2002;0,2
Nederland;2003;0,2
Nederland;2004;2
Nederland;2005;2,1
Nederland;2006;3,5
Nederland;2007;3,8
Nederland;2008;2,2
Nederland;2009;-3,7
Nederland;2010;1,3
Nederland;2011;1,6
Nederland;2012;-1
Nederland;2013;-0,1
Nederland;2014;1,4
Nederland;2015;2
Nederland;2016;2,2
Nederland;2017;2,9
Nederland;2018;2,4
Nederland;2019;2
Nederland;2020;-3,8
Groningen (PV);1996;6,7
Groningen (PV);1997;1,2
Groningen (PV);1998;0,6
Groningen (PV);1999;2,4
Groningen (PV);2000;1,7
Groningen (PV);2001;2,2
Groningen (PV);2002;0,9
Groningen (PV);2003;-0,5
Groningen (PV);2004;1,9
Groningen (PV);2005;-0,8
Groningen (PV);2006;0,2
Groningen (PV);2007;0,9
Groningen (PV);2008;3
Groningen (PV);2009;-4,5
Groningen (PV);2010;4,3
Groningen (PV);2011;-1,1
Groningen (PV);2012;-1,2
Groningen (PV);2013;3,3
Groningen (PV);2014;-2,8
Groningen (PV);2015;-5,3
Groningen (PV);2016;2,2
Groningen (PV);2017;-0,4
Groningen (PV);2018;-2,7
Groningen (PV);2019;-1
Groningen (PV);2020;-6,8
Fryslân (PV);1996;3,6
Fryslân (PV);1997;2,1
Fryslân (PV);1998;5,1
Fryslân (PV);1999;4,3
Fryslân (PV);2000;3,3
Fryslân (PV);2001;3,4
Fryslân (PV);2002;-0,7
Fryslân (PV);2003;1,6
Fryslân (PV);2004;1,2
Fryslân (PV);2005;2,3
Fryslân (PV);2006;2,4
Fryslân (PV);2007;4,2
Fryslân (PV);2008;1,6
Fryslân (PV);2009;-2,7
Fryslân (PV);2010;0,8
Fryslân (PV);2011;3
Fryslân (PV);2012;-2,3
Fryslân (PV);2013;-1,6
Fryslân (PV);2014;1,6
Fryslân (PV);2015;-1,4
Fryslân (PV);2016;1,2
Fryslân (PV);2017;1,4
Fryslân (PV);2018;1,6
Fryslân (PV);2019;3
Fryslân (PV);2020;-3,2
Drenthe (PV);1996;3,6
Drenthe (PV);1997;2,2
Drenthe (PV);1998;3,5
Drenthe (PV);1999;3,2
Drenthe (PV);2000;1,7
Drenthe (PV);2001;3,1
Drenthe (PV);2002;1,3
Drenthe (PV);2003;-0,2
Drenthe (PV);2004;0,9
Drenthe (PV);2005;1,2
Drenthe (PV);2006;2,8
Drenthe (PV);2007;4
Drenthe (PV);2008;1,9
Drenthe (PV);2009;-4,5
Drenthe (PV);2010;-0,2
Drenthe (PV);2011;0,6
Drenthe (PV);2012;-1,5
Drenthe (PV);2013;-0,7
Drenthe (PV);2014;0,9
Drenthe (PV);2015;-1,7
Drenthe (PV);2016;-0,3
Drenthe (PV);2017;1,8
Drenthe (PV);2018;1,8
Drenthe (PV);2019;0,5
Drenthe (PV);2020;-2,7