"Onderwerp","Perioden","Totalen","Regio's"
"Beloning van werknemers in mln euro","1998","5862","Groningen (PV)"
"Beloning van werknemers in mln euro","1999","209544","Nederland"
"Beloning van werknemers in mln euro","1999","4721","Drenthe (PV)"
"Beloning van werknemers in mln euro","1999","5740","Fryslân (PV)"
"Beloning van werknemers in mln euro","1999","6263","Groningen (PV)"
"Beloning van werknemers in mln euro","2000","226691","Nederland"
"Beloning van werknemers in mln euro","2000","5041","Drenthe (PV)"
"Beloning van werknemers in mln euro","2000","6176","Fryslân (PV)"
"Beloning van werknemers in mln euro","2000","6718","Groningen (PV)"
"Beloning van werknemers in mln euro","2001","239070","Nederland"
"Beloning van werknemers in mln euro","2001","5374","Drenthe (PV)"
"Beloning van werknemers in mln euro","2001","6554","Fryslân (PV)"
"Beloning van werknemers in mln euro","2001","7049","Groningen (PV)"
"Beloning van werknemers in mln euro","2002","251061","Nederland"
"Beloning van werknemers in mln euro","2002","5800","Drenthe (PV)"
"Beloning van werknemers in mln euro","2002","6831","Fryslân (PV)"
"Beloning van werknemers in mln euro","2002","7440","Groningen (PV)"
"Beloning van werknemers in mln euro","2003","257855","Nederland"
"Beloning van werknemers in mln euro","2003","5925","Drenthe (PV)"
"Beloning van werknemers in mln euro","2003","7101","Fryslân (PV)"
"Beloning van werknemers in mln euro","2003","7724","Groningen (PV)"
"Beloning van werknemers in mln euro","2004","261594","Nederland"
"Beloning van werknemers in mln euro","2004","5991","Drenthe (PV)"
"Beloning van werknemers in mln euro","2004","7231","Fryslân (PV)"
"Beloning van werknemers in mln euro","2004","7845","Groningen (PV)"
"Beloning van werknemers in mln euro","2005","265786","Nederland"
"Beloning van werknemers in mln euro","2005","6038","Drenthe (PV)"
"Beloning van werknemers in mln euro","2005","7367","Fryslân (PV)"
"Beloning van werknemers in mln euro","2005","7878","Groningen (PV)"
"Beloning van werknemers in mln euro","2006","274630","Nederland"
"Beloning van werknemers in mln euro","2006","6181","Drenthe (PV)"
"Beloning van werknemers in mln euro","2006","7527","Fryslân (PV)"
"Beloning van werknemers in mln euro","2006","8036","Groningen (PV)"
"Beloning van werknemers in mln euro","2007","290422","Nederland"
"Beloning van werknemers in mln euro","2007","6567","Drenthe (PV)"
"Beloning van werknemers in mln euro","2007","7954","Fryslân (PV)"
"Beloning van werknemers in mln euro","2007","8327","Groningen (PV)"
"Beloning van werknemers in mln euro","2008","307606","Nederland"
"Beloning van werknemers in mln euro","2008","7110","Drenthe (PV)"
"Beloning van werknemers in mln euro","2008","8349","Fryslân (PV)"
"Beloning van werknemers in mln euro","2008","8747","Groningen (PV)"
"Beloning van werknemers in mln euro","2009","312196","Nederland"
"Beloning van werknemers in mln euro","2009","6983","Drenthe (PV)"
"Beloning van werknemers in mln euro","2009","8503","Fryslân (PV)"
"Beloning van werknemers in mln euro","2009","8967","Groningen (PV)"
"Beloning van werknemers in mln euro","2010","311717","Nederland"
"Beloning van werknemers in mln euro","2010","6781","Drenthe (PV)"
"Beloning van werknemers in mln euro","2010","8604","Fryslân (PV)"
"Beloning van werknemers in mln euro","2010","8842","Groningen (PV)"
"Beloning van werknemers in mln euro","2011","319557","Nederland"
"Beloning van werknemers in mln euro","2011","6970","Drenthe (PV)"
"Beloning van werknemers in mln euro","2011","8853","Fryslân (PV)"
"Beloning van werknemers in mln euro","2011","9099","Groningen (PV)"
"Beloning van werknemers in mln euro","2012","323867","Nederland"
"Beloning van werknemers in mln euro","2012","6995","Drenthe (PV)"
"Beloning van werknemers in mln euro","2012","8863","Fryslân (PV)"
"Beloning van werknemers in mln euro","2012","9205","Groningen (PV)"
"Beloning van werknemers in mln euro","2013","324676","Nederland"
"Beloning van werknemers in mln euro","2013","6918","Drenthe (PV)"
"Beloning van werknemers in mln euro","2013","8718","Fryslân (PV)"
"Beloning van werknemers in mln euro","2013","9299","Groningen (PV)"
"Beloning van werknemers in mln euro","2014","328166","Nederland"
"Beloning van werknemers in mln euro","2014","7077","Drenthe (PV)"
"Beloning van werknemers in mln euro","2014","8781","Fryslân (PV)"
"Beloning van werknemers in mln euro","2014","9389","Groningen (PV)"
"Beloning van werknemers in mln euro","2015","330267","Nederland"
"Beloning van werknemers in mln euro","2015","7045","Drenthe (PV)"
"Beloning van werknemers in mln euro","2015","8789","Fryslân (PV)"
"Beloning van werknemers in mln euro","2015","9450","Groningen (PV)"
"Beloning van werknemers in mln euro","2016","340586","Nederland"
"Beloning van werknemers in mln euro","2016","7076","Drenthe (PV)"
"Beloning van werknemers in mln euro","2016","9120","Fryslân (PV)"
"Beloning van werknemers in mln euro","2016","9864","Groningen (PV)"
"Beloning van werknemers in mln euro","2017","10160","Groningen (PV)"
"Beloning van werknemers in mln euro","2017","352818","Nederland"
"Beloning van werknemers in mln euro","2017","7257","Drenthe (PV)"
"Beloning van werknemers in mln euro","2017","9369","Fryslân (PV)"
"Beloning van werknemers in mln euro","2018","10559","Groningen (PV)"
"Beloning van werknemers in mln euro","2018","369840","Nederland"
"Beloning van werknemers in mln euro","2018","7537","Drenthe (PV)"
"Beloning van werknemers in mln euro","2018","9804","Fryslân (PV)"
"Beloning van werknemers in mln euro","2019*","10366","Fryslân (PV)"
"Beloning van werknemers in mln euro","2019*","11000","Groningen (PV)"
"Beloning van werknemers in mln euro","2019*","388869","Nederland"
"Beloning van werknemers in mln euro","2019*","7904","Drenthe (PV)"
"Beloning van werknemers in mln euro","2020*",NA,"Drenthe (PV)"
"Beloning van werknemers in mln euro","2020*",NA,"Fryslân (PV)"
"Beloning van werknemers in mln euro","2020*",NA,"Groningen (PV)"
"Beloning van werknemers in mln euro","2020*",NA,"Nederland"
"Bijstand totaal (tot AOW-leeftijd)","1995",NA,"Drenthe (PV)"
"Bijstand totaal (tot AOW-leeftijd)","1995",NA,"Fryslân (PV)"
"Bijstand totaal (tot AOW-leeftijd)","1995",NA,"Groningen (PV)"
"Bijstand totaal (tot AOW-leeftijd)","1995",NA,"Nederland"
"Bijstand totaal (tot AOW-leeftijd)","1996",NA,"Drenthe (PV)"
"Bijstand totaal (tot AOW-leeftijd)","1996",NA,"Fryslân (PV)"
"Bijstand totaal (tot AOW-leeftijd)","1996",NA,"Groningen (PV)"
"Bijstand totaal (tot AOW-leeftijd)","1996",NA,"Nederland"
"Bijstand totaal (tot AOW-leeftijd)","1997",NA,"Drenthe (PV)"
"Bijstand totaal (tot AOW-leeftijd)","1997",NA,"Fryslân (PV)"
"Bijstand totaal (tot AOW-leeftijd)","1997",NA,"Groningen (PV)"
"Bijstand totaal (tot AOW-leeftijd)","1997",NA,"Nederland"
"Bijstand totaal (tot AOW-leeftijd)","1998",NA,"Drenthe (PV)"
"Bijstand totaal (tot AOW-leeftijd)","1998",NA,"Fryslân (PV)"
"Bijstand totaal (tot AOW-leeftijd)","1998",NA,"Groningen (PV)"
"Bijstand totaal (tot AOW-leeftijd)","1998",NA,"Nederland"
"Bijstand totaal (tot AOW-leeftijd)","1999",NA,"Drenthe (PV)"
"Bijstand totaal (tot AOW-leeftijd)","1999",NA,"Fryslân (PV)"
"Bijstand totaal (tot AOW-leeftijd)","1999",NA,"Groningen (PV)"
"Bijstand totaal (tot AOW-leeftijd)","1999",NA,"Nederland"
"Bijstand totaal (tot AOW-leeftijd)","2000",NA,"Drenthe (PV)"
"Bijstand totaal (tot AOW-leeftijd)","2000",NA,"Fryslân (PV)"
"Bijstand totaal (tot AOW-leeftijd)","2000",NA,"Groningen (PV)"
"Bijstand totaal (tot AOW-leeftijd)","2000",NA,"Nederland"
"Bijstand totaal (tot AOW-leeftijd)","2001",NA,"Drenthe (PV)"
"Bijstand totaal (tot AOW-leeftijd)","2001",NA,"Fryslân (PV)"
"Bijstand totaal (tot AOW-leeftijd)","2001",NA,"Groningen (PV)"
"Bijstand totaal (tot AOW-leeftijd)","2001",NA,"Nederland"
"Bijstand totaal (tot AOW-leeftijd)","2002",NA,"Drenthe (PV)"
"Bijstand totaal (tot AOW-leeftijd)","2002",NA,"Fryslân (PV)"
"Bijstand totaal (tot AOW-leeftijd)","2002",NA,"Groningen (PV)"
"Bijstand totaal (tot AOW-leeftijd)","2002",NA,"Nederland"
"Bijstand totaal (tot AOW-leeftijd)","2003",NA,"Drenthe (PV)"
"Bijstand totaal (tot AOW-leeftijd)","2003",NA,"Fryslân (PV)"
"Bijstand totaal (tot AOW-leeftijd)","2003",NA,"Groningen (PV)"
"Bijstand totaal (tot AOW-leeftijd)","2003",NA,"Nederland"
"Bijstand totaal (tot AOW-leeftijd)","2004",NA,"Drenthe (PV)"
"Bijstand totaal (tot AOW-leeftijd)","2004",NA,"Fryslân (PV)"
"Bijstand totaal (tot AOW-leeftijd)","2004",NA,"Groningen (PV)"
"Bijstand totaal (tot AOW-leeftijd)","2004",NA,"Nederland"
"Bijstand totaal (tot AOW-leeftijd)","2005",NA,"Drenthe (PV)"
"Bijstand totaal (tot AOW-leeftijd)","2005",NA,"Fryslân (PV)"
"Bijstand totaal (tot AOW-leeftijd)","2005",NA,"Groningen (PV)"
"Bijstand totaal (tot AOW-leeftijd)","2005",NA,"Nederland"
"Bijstand totaal (tot AOW-leeftijd)","2006",NA,"Drenthe (PV)"
"Bijstand totaal (tot AOW-leeftijd)","2006",NA,"Fryslân (PV)"
"Bijstand totaal (tot AOW-leeftijd)","2006",NA,"Groningen (PV)"
"Bijstand totaal (tot AOW-leeftijd)","2006",NA,"Nederland"
"Bijstand totaal (tot AOW-leeftijd)","2007","12960","Fryslân (PV)"
"Bijstand totaal (tot AOW-leeftijd)","2007","17600","Groningen (PV)"
"Bijstand totaal (tot AOW-leeftijd)","2007","347800","Nederland"
"Bijstand totaal (tot AOW-leeftijd)","2007","8870","Drenthe (PV)"
"Bijstand totaal (tot AOW-leeftijd)","2008","12680","Fryslân (PV)"
"Bijstand totaal (tot AOW-leeftijd)","2008","16590","Groningen (PV)"
"Bijstand totaal (tot AOW-leeftijd)","2008","333460","Nederland"
"Bijstand totaal (tot AOW-leeftijd)","2008","8880","Drenthe (PV)"
"Bijstand totaal (tot AOW-leeftijd)","2009","10370","Drenthe (PV)"
"Bijstand totaal (tot AOW-leeftijd)","2009","14230","Fryslân (PV)"
"Bijstand totaal (tot AOW-leeftijd)","2009","17990","Groningen (PV)"
"Bijstand totaal (tot AOW-leeftijd)","2009","364520","Nederland"
"Bijstand totaal (tot AOW-leeftijd)","2010","11240","Drenthe (PV)"
"Bijstand totaal (tot AOW-leeftijd)","2010","15410","Fryslân (PV)"
"Bijstand totaal (tot AOW-leeftijd)","2010","19440","Groningen (PV)"
"Bijstand totaal (tot AOW-leeftijd)","2010","394090","Nederland"
"Bijstand totaal (tot AOW-leeftijd)","2011","11670","Drenthe (PV)"
"Bijstand totaal (tot AOW-leeftijd)","2011","17240","Fryslân (PV)"
"Bijstand totaal (tot AOW-leeftijd)","2011","20050","Groningen (PV)"
"Bijstand totaal (tot AOW-leeftijd)","2011","404670","Nederland"
"Bijstand totaal (tot AOW-leeftijd)","2012","12320","Drenthe (PV)"
"Bijstand totaal (tot AOW-leeftijd)","2012","18680","Fryslân (PV)"
"Bijstand totaal (tot AOW-leeftijd)","2012","20850","Groningen (PV)"
"Bijstand totaal (tot AOW-leeftijd)","2012","417720","Nederland"
"Bijstand totaal (tot AOW-leeftijd)","2013","13320","Drenthe (PV)"
"Bijstand totaal (tot AOW-leeftijd)","2013","20310","Fryslân (PV)"
"Bijstand totaal (tot AOW-leeftijd)","2013","22830","Groningen (PV)"
"Bijstand totaal (tot AOW-leeftijd)","2013","453920","Nederland"
"Bijstand totaal (tot AOW-leeftijd)","2014","13790","Drenthe (PV)"
"Bijstand totaal (tot AOW-leeftijd)","2014","21230","Fryslân (PV)"
"Bijstand totaal (tot AOW-leeftijd)","2014","23690","Groningen (PV)"
"Bijstand totaal (tot AOW-leeftijd)","2014","478110","Nederland"
"Bijstand totaal (tot AOW-leeftijd)","2015","13990","Drenthe (PV)"
"Bijstand totaal (tot AOW-leeftijd)","2015","22100","Fryslân (PV)"
"Bijstand totaal (tot AOW-leeftijd)","2015","24240","Groningen (PV)"
"Bijstand totaal (tot AOW-leeftijd)","2015","497830","Nederland"
"Bijstand totaal (tot AOW-leeftijd)","2016","14360","Drenthe (PV)"
"Bijstand totaal (tot AOW-leeftijd)","2016","23250","Fryslân (PV)"
"Bijstand totaal (tot AOW-leeftijd)","2016","25000","Groningen (PV)"
"Bijstand totaal (tot AOW-leeftijd)","2016","517840","Nederland"
"Bijstand totaal (tot AOW-leeftijd)","2017","14210","Drenthe (PV)"
"Bijstand totaal (tot AOW-leeftijd)","2017","22740","Fryslân (PV)"
"Bijstand totaal (tot AOW-leeftijd)","2017","24850","Groningen (PV)"
"Bijstand totaal (tot AOW-leeftijd)","2017","510750","Nederland"
"Bijstand totaal (tot AOW-leeftijd)","2018","13430","Drenthe (PV)"
"Bijstand totaal (tot AOW-leeftijd)","2018","21260","Fryslân (PV)"
"Bijstand totaal (tot AOW-leeftijd)","2018","23570","Groningen (PV)"
"Bijstand totaal (tot AOW-leeftijd)","2018","484530","Nederland"
"Bijstand totaal (tot AOW-leeftijd)","2019","12900","Drenthe (PV)"
"Bijstand totaal (tot AOW-leeftijd)","2019","20230","Fryslân (PV)"
"Bijstand totaal (tot AOW-leeftijd)","2019","22910","Groningen (PV)"
"Bijstand totaal (tot AOW-leeftijd)","2019","465300","Nederland"
"Bijstand totaal (tot AOW-leeftijd)","2020",NA,"Drenthe (PV)"
"Bijstand totaal (tot AOW-leeftijd)","2020",NA,"Fryslân (PV)"
"Bijstand totaal (tot AOW-leeftijd)","2020",NA,"Groningen (PV)"
"Bijstand totaal (tot AOW-leeftijd)","2020",NA,"Nederland"
"Bijstand totaal (tot AOW-leeftijd)","2021",NA,"Drenthe (PV)"
"Bijstand totaal (tot AOW-leeftijd)","2021",NA,"Fryslân (PV)"
"Bijstand totaal (tot AOW-leeftijd)","2021",NA,"Groningen (PV)"
"Bijstand totaal (tot AOW-leeftijd)","2021",NA,"Nederland"
"Bruto toegevoegde waarde, volumemutaties in percentages","1995",NA,"Drenthe (PV)"
"Bruto toegevoegde waarde, volumemutaties in percentages","1995",NA,"Fryslân (PV)"
"Bruto toegevoegde waarde, volumemutaties in percentages","1995",NA,"Groningen (PV)"
"Bruto toegevoegde waarde, volumemutaties in percentages","1995",NA,"Nederland"
"Bruto toegevoegde waarde, volumemutaties in percentages","1996","32","Nederland"
"Bruto toegevoegde waarde, volumemutaties in percentages","1996","33","Drenthe (PV)"
"Bruto toegevoegde waarde, volumemutaties in percentages","1996","33","Fryslân (PV)"
"Bruto toegevoegde waarde, volumemutaties in percentages","1996","64","Groningen (PV)"
"Bruto toegevoegde waarde, volumemutaties in percentages","1997","13","Groningen (PV)"
"Bruto toegevoegde waarde, volumemutaties in percentages","1997","22","Fryslân (PV)"
"Bruto toegevoegde waarde, volumemutaties in percentages","1997","23","Drenthe (PV)"
"Bruto toegevoegde waarde, volumemutaties in percentages","1997","45","Nederland"
"Bruto toegevoegde waarde, volumemutaties in percentages","1998","34","Drenthe (PV)"
"Bruto toegevoegde waarde, volumemutaties in percentages","1998","46","Nederland"
"Bruto toegevoegde waarde, volumemutaties in percentages","1998","51","Fryslân (PV)"
"Bruto toegevoegde waarde, volumemutaties in percentages","1998","6","Groningen (PV)"
"Bruto toegevoegde waarde, volumemutaties in percentages","1999","21","Groningen (PV)"
"Bruto toegevoegde waarde, volumemutaties in percentages","1999","29","Drenthe (PV)"
"Bruto toegevoegde waarde, volumemutaties in percentages","1999","40","Fryslân (PV)"
"Bruto toegevoegde waarde, volumemutaties in percentages","1999","48","Nederland"
"Bruto toegevoegde waarde, volumemutaties in percentages","2000","19","Drenthe (PV)"
"Bruto toegevoegde waarde, volumemutaties in percentages","2000","19","Groningen (PV)"
"Bruto toegevoegde waarde, volumemutaties in percentages","2000","35","Fryslân (PV)"
"Bruto toegevoegde waarde, volumemutaties in percentages","2000","44","Nederland"
"Bruto toegevoegde waarde, volumemutaties in percentages","2001","22","Groningen (PV)"
"Bruto toegevoegde waarde, volumemutaties in percentages","2001","24","Nederland"
"Bruto toegevoegde waarde, volumemutaties in percentages","2001","31","Drenthe (PV)"
"Bruto toegevoegde waarde, volumemutaties in percentages","2001","34","Fryslân (PV)"
"Bruto toegevoegde waarde, volumemutaties in percentages","2002","-7","Fryslân (PV)"
"Bruto toegevoegde waarde, volumemutaties in percentages","2002","13","Drenthe (PV)"
"Bruto toegevoegde waarde, volumemutaties in percentages","2002","2","Nederland"
"Bruto toegevoegde waarde, volumemutaties in percentages","2002","9","Groningen (PV)"
"Bruto toegevoegde waarde, volumemutaties in percentages","2003","-2","Drenthe (PV)"
"Bruto toegevoegde waarde, volumemutaties in percentages","2003","-5","Groningen (PV)"
"Bruto toegevoegde waarde, volumemutaties in percentages","2003","1","Nederland"
"Bruto toegevoegde waarde, volumemutaties in percentages","2003","16","Fryslân (PV)"
"Bruto toegevoegde waarde, volumemutaties in percentages","2004","13","Fryslân (PV)"
"Bruto toegevoegde waarde, volumemutaties in percentages","2004","20","Groningen (PV)"
"Bruto toegevoegde waarde, volumemutaties in percentages","2004","21","Nederland"
"Bruto toegevoegde waarde, volumemutaties in percentages","2004","9","Drenthe (PV)"
"Bruto toegevoegde waarde, volumemutaties in percentages","2005","-8","Groningen (PV)"
"Bruto toegevoegde waarde, volumemutaties in percentages","2005","12","Drenthe (PV)"
"Bruto toegevoegde waarde, volumemutaties in percentages","2005","21","Nederland"
"Bruto toegevoegde waarde, volumemutaties in percentages","2005","24","Fryslân (PV)"
"Bruto toegevoegde waarde, volumemutaties in percentages","2006","1","Groningen (PV)"
"Bruto toegevoegde waarde, volumemutaties in percentages","2006","23","Fryslân (PV)"
"Bruto toegevoegde waarde, volumemutaties in percentages","2006","27","Drenthe (PV)"
"Bruto toegevoegde waarde, volumemutaties in percentages","2006","33","Nederland"
"Bruto toegevoegde waarde, volumemutaties in percentages","2007","10","Groningen (PV)"
"Bruto toegevoegde waarde, volumemutaties in percentages","2007","39","Nederland"
"Bruto toegevoegde waarde, volumemutaties in percentages","2007","41","Drenthe (PV)"
"Bruto toegevoegde waarde, volumemutaties in percentages","2007","42","Fryslân (PV)"
"Bruto toegevoegde waarde, volumemutaties in percentages","2008","20","Fryslân (PV)"
"Bruto toegevoegde waarde, volumemutaties in percentages","2008","22","Drenthe (PV)"
"Bruto toegevoegde waarde, volumemutaties in percentages","2008","25","Nederland"
"Bruto toegevoegde waarde, volumemutaties in percentages","2008","33","Groningen (PV)"
"Bruto toegevoegde waarde, volumemutaties in percentages","2009","-24","Fryslân (PV)"
"Bruto toegevoegde waarde, volumemutaties in percentages","2009","-33","Nederland"
"Bruto toegevoegde waarde, volumemutaties in percentages","2009","-41","Drenthe (PV)"
"Bruto toegevoegde waarde, volumemutaties in percentages","2009","-42","Groningen (PV)"
"Bruto toegevoegde waarde, volumemutaties in percentages","2010","-1","Drenthe (PV)"
"Bruto toegevoegde waarde, volumemutaties in percentages","2010","15","Nederland"
"Bruto toegevoegde waarde, volumemutaties in percentages","2010","45","Groningen (PV)"
"Bruto toegevoegde waarde, volumemutaties in percentages","2010","9","Fryslân (PV)"
"Bruto toegevoegde waarde, volumemutaties in percentages","2011","-7","Groningen (PV)"
"Bruto toegevoegde waarde, volumemutaties in percentages","2011","19","Nederland"
"Bruto toegevoegde waarde, volumemutaties in percentages","2011","33","Fryslân (PV)"
"Bruto toegevoegde waarde, volumemutaties in percentages","2011","9","Drenthe (PV)"
"Bruto toegevoegde waarde, volumemutaties in percentages","2012","-10","Groningen (PV)"
"Bruto toegevoegde waarde, volumemutaties in percentages","2012","-12","Drenthe (PV)"
"Bruto toegevoegde waarde, volumemutaties in percentages","2012","-21","Fryslân (PV)"
"Bruto toegevoegde waarde, volumemutaties in percentages","2012","-8","Nederland"
"Bruto toegevoegde waarde, volumemutaties in percentages","2013","-12","Fryslân (PV)"
"Bruto toegevoegde waarde, volumemutaties in percentages","2013","-3","Drenthe (PV)"
"Bruto toegevoegde waarde, volumemutaties in percentages","2013","3","Nederland"
"Bruto toegevoegde waarde, volumemutaties in percentages","2013","37","Groningen (PV)"
"Bruto toegevoegde waarde, volumemutaties in percentages","2014","-28","Groningen (PV)"
"Bruto toegevoegde waarde, volumemutaties in percentages","2014","14","Nederland"
"Bruto toegevoegde waarde, volumemutaties in percentages","2014","16","Fryslân (PV)"
"Bruto toegevoegde waarde, volumemutaties in percentages","2014","9","Drenthe (PV)"
"Bruto toegevoegde waarde, volumemutaties in percentages","2015","-17","Fryslân (PV)"
"Bruto toegevoegde waarde, volumemutaties in percentages","2015","-20","Drenthe (PV)"
"Bruto toegevoegde waarde, volumemutaties in percentages","2015","-55","Groningen (PV)"
"Bruto toegevoegde waarde, volumemutaties in percentages","2015","17","Nederland"
"Bruto toegevoegde waarde, volumemutaties in percentages","2016","-5","Drenthe (PV)"
"Bruto toegevoegde waarde, volumemutaties in percentages","2016","20","Groningen (PV)"
"Bruto toegevoegde waarde, volumemutaties in percentages","2016","20","Nederland"
"Bruto toegevoegde waarde, volumemutaties in percentages","2016","9","Fryslân (PV)"
"Bruto toegevoegde waarde, volumemutaties in percentages","2017","-4","Groningen (PV)"
"Bruto toegevoegde waarde, volumemutaties in percentages","2017","14","Fryslân (PV)"
"Bruto toegevoegde waarde, volumemutaties in percentages","2017","18","Drenthe (PV)"
"Bruto toegevoegde waarde, volumemutaties in percentages","2017","29","Nederland"
"Bruto toegevoegde waarde, volumemutaties in percentages","2018","-28","Groningen (PV)"
"Bruto toegevoegde waarde, volumemutaties in percentages","2018","16","Fryslân (PV)"
"Bruto toegevoegde waarde, volumemutaties in percentages","2018","18","Drenthe (PV)"
"Bruto toegevoegde waarde, volumemutaties in percentages","2018","23","Nederland"
"Bruto toegevoegde waarde, volumemutaties in percentages","2019*","-10","Groningen (PV)"
"Bruto toegevoegde waarde, volumemutaties in percentages","2019*","20","Nederland"
"Bruto toegevoegde waarde, volumemutaties in percentages","2019*","30","Fryslân (PV)"
"Bruto toegevoegde waarde, volumemutaties in percentages","2019*","6","Drenthe (PV)"
"Bruto toegevoegde waarde, volumemutaties in percentages","2020*","-27","Drenthe (PV)"
"Bruto toegevoegde waarde, volumemutaties in percentages","2020*","-32","Fryslân (PV)"
"Bruto toegevoegde waarde, volumemutaties in percentages","2020*","-38","Nederland"
"Bruto toegevoegde waarde, volumemutaties in percentages","2020*","-68","Groningen (PV)"
"Consumentenvertrouwen: gemiddelde saldo vd deelvragen","2017","20","Groningen (PV)"
